a,冠,一つの、一人の,a book / a girl
able,形,・・・することができる,be able to speak English
about,前|副,・・・について（の）、・・・に関して、・・・に関する、およそ、約～,talk about music / about 40 students
above,前,・・・の上に（の） ※接触せずにより高い位置にあることを言う。,above your head
abroad,副,外国に（へ、で）、海外に（へ、で）,study abroad
accept,動,・・・を受け入れる、・・・を受け取る、・・・を承諾する,accept a present
accident,名,事故、災難、故障,have an accident
across,前,・・・を横切って、・・・を渡って,walk across the street
act,動,行動する、ふるまう,act quickly
action,名,行動、行為,a plan of action
active,形,活動的な,an active woman
activity,名,活動,a club activity
actor,名,俳優、男優（男女を問わず用いるが、男優をさす場合が多い）,a kabuki actor
actress,名,女優,a good actress
actually,副,本当に、実際には,She didn't actually say that.
add,動,・・・を加える,add some water
addition,名,追加,in addition （加えて）
address,名,住所,my address
adult,名,大人、成人,become an adult
advantage,名,利点、長所,have a big advantage
adventure,名,冒険,read the story about her adventure
advice,名,忠告、アドバイス,give advice to her
afraid,形,(be afraid of )恐れている,Some people are afraid of dark places.
Africa,名,アフリカ,go to Africa
after,前|接,・・・のあとに（で）、・・・してから|・・・したあとで,after dinner|after I ate dinner
afternoon,名,午後,in the afternoon
again,副,もう一度,see him again
against,前,・・・に反対して、・・・に反して、・・・に対して,against his advice
age,名,年齢、年,different ages
ago,副,（今から）・・・前に,five years ago
agree,動,賛成する,agree with her
air,名,空気,fresh air
airport,名,空港,arrive at the airport
all,形|代|副,すべての|・・・のすべて、全員、全部|まったく、すっかり,all the students|All of the students…|That's all right.
allow,動,（～に）・・・するのを許す（許可する）,allow him to study abroad
almost,副,ほとんど,almost all of them
alone,副,ただ１人で,go home alone
along,前,・・・に沿って,walk along the street
already,副,すでに、もう,have already cleaned the room
also,副,・・・もまた,Tom and also Jim
although,接,・・・だけれども、・・・にもかかわらず,Although it is raining, ...
always,副,いつも、常に,She always drinks tea in the morning.
am,動,（beの一人称・単数・現在形）,"Are you happy?" "Yes, I am."
a.m.,副,午前,at 9 a.m.
amazing,形,びっくりするような、信じられないほどの,have an amazing experience
America,名,アメリカ（合衆国）,go to America
American,名|形,アメリカ人（の）、アメリカ（合衆国）の,She is an American. / American people
among,前,（３人・３つ以上）の間に,among the trees
an,冠,一つの、一人の※母音で始まる単語の前で用いる。,an egg / an active boy
and,接,・・・と（や）～、そして,study Japanese and English
angry,形,怒って、腹をたてて,I am angry with him.
animal,名,動物,small animals
another,形,もう一つ（一人）の,have another chance
answer,動|名,・・・に答える|名,answer a question|write an answer to him
any,形,（疑問文で）いくつか、（否定文で）何も（・・・ない）、（肯定文で）どんな・・・でも,don't have any pens / I listen to any kind of music.
anyone,代,（肯定文で）誰でも、（否定文で）誰も、（疑問文で）誰か,Is anyone going to answer?
anything,代,（否定文で）何も・・・ない、（疑問文で）何か,I didn't say anything.
anywhere,副,（否定的文脈で）どこに（へ）も・・・ない、（肯定文で）どこででも、どこへでも,I'm not going anywhere today.
appear,動,現れる,appear on the stage
apple,名,りんご,eat an apple
April,名,４月,in April
are,動,（beの二人称・単数（複数）・現在形、及びそれ以外の人称の複数現在形）,We are happy.
area,名,地域、（特定の活動をする）場所,in this area
arm,名,腕,my left arm
around,前,・・・のまわりに,sit around a table
arrive,動,到着する、着く,arrive at the station
art,名,美術、芸術,a museum of art
artist,名,芸術家,a famous artist
as,副|接|前,（比較）・・・と同じくらい||・・・として,He is as tall as I.||as a leader
Asia,名,アジア（大陸）,in Asia
ask,動,①（～に）・・・をたずねる、②（～に）・・・するように頼む（to・・・） ①,ask his name ②ask him to help me
astronaut,名,宇宙飛行士,want to be an astronaut
at,前,①（場所、位置）・・・に（で）、・・・のところに②（時刻）・・・に,①meet them at the station ②at nine o'clock
attention,名,注意、関心,pay attention to…
August,名,８月,in August
aunt,名,おば,see my aunt
Australia,名,オーストラリア（大陸）,go to Australia
Australian,形,オーストラリア（人）の,Australian friend
autumn,名,秋,in autumn
away,副,（移動、方向）離れて,go away from here
baby,名,赤ちゃん,a happy baby
back,副|名,後ろへ、戻って、帰って|背中,come back here|the back of a book
bad,形,悪い《活用》worse-worst,a bad boy
bag,名,かばん,a black bag
ball,名,ボール,play with a ball
banana,名,バナナ,eat a banana
barrier,名,障壁・障害,a language barrier
baseball,名,野球,play baseball
basketball,名,バスケットボール,play basketball
bath,名,入浴、浴室・風呂場,take a bath
be,動,～である、いる、ある《活用》was,were-been,Be quiet.
beach,名,砂浜・浜辺・海岸,go to the beach
bean,名,豆,coffee beans
bear,名,熊,a brown bear
beautiful,形,美しい,a beautiful picture
beauty,名,美しさ・美,beauty of the sea
because,接,（理由や原因を説明して）・・・だから、なぜならば・・・,because it is sunny
become,動,・・・になる《活用》became-become,become a teacher
bed,名,ベッド,get out of bed
before,前|接,・・・の前に、・・・よりも前に、・・・前に|・・・する前に,before the exam|before you arrive at the station
begin,動,・・・を始める、・・・をし始める（to・・・、・・・ing)、始まる《活用》began-begun,begin to walk
behind,前,・・・の後ろに（で）,behind the trees
believe,動,・・・を信じる、信じている,believe him
below,副,下に（へ、を）、下記に,See the questions below.
beside,前,・・・のそばに（の）,beside the door
between,前,・・・の間に（で、を、の）,between A and B
big,形,大きい,live in a big city
bike,名,自転車,go by bike
bird,名,鳥,find a beautiful bird
birthday,名,誕生日,Today is his birthday.
black,名|形,黒（の）・黒色（の）、黒い,find a black box
blank,名,空白・余白・空所,fill in the blanks
blossom,名,花,cherry blossoms
blow,動,（風が）吹く、・・・を吹き動かす《活用》blew-blown,The wind is blowing.
blue,名|形,青（の）・青色（の）、青い,the blue sky
boat,名,ボート・船,go by boat
body,名,からだ,a human body
bomb,名,爆弾,a time bomb
book,名,本,an English book
bookstore,名,書店,go to a bookstore
bored,形,退屈した,I am bored.
boring,形,（人を）うんざり（退屈）させる、退屈な,a boring story
born,動,生まれる（be born） ※動詞bearの過去分詞形,A baby was born.
borrow,動,・・・を借りる,borrow a pencil
both,形|代|副,両方の|両方|両方とも,both ways|Both are OK.|both A and B
bottle,名,びん・ボトル,a red bottle
box,名,箱,open a box
boy,名,少年,a tall boy
bread,名,パン,eat bread
break,動,・・・を壊す、壊れる《活用》broke-broken,break the window
breakfast,名,朝食,have breakfast
bridge,名,橋,a big bridge
bright,形,輝いている・光っている、明るい,the bright sun
bring,動,・・・を持ってくる、もたらす《活用》brought-brought,bring some flowers
British,形,英国の,British people
brother,名,兄弟、兄、弟,I have two brothers.
brown,名|形,茶色（の）,have a brown bag
build,動,・・・を建てる・建築（建設、建造）する《活用》built-built,build a house
building,名,建物・建築物・建造物・ビルディング,a new building
burn,動,燃える、焼ける、・・・を燃やす、焼く,The fire is burning.
bus,名,バス,take a bus
business,名,職業・仕事・商売・事業,start a business
busy,形,忙しい、にぎやかな,I am busy with my homework.
but,接,しかし、だが、けれども,...but I don't want to go there.
